id,batch_number,vehicle_model_id,production_line_id,start_date,end_date,planned_quantity,actual_quantity,status,quality_score,shift_id
PB001,XC90-2024-001,VM001,PL001,2024-07-22,2024-07-22,25,24,completed,98.5,SH001
PB002,XC90-2024-002,VM001,PL001,2024-07-22,2024-07-22,25,25,completed,97.8,SH002
PB003,XC60-2024-001,VM002,PL002,2024-07-22,2024-07-23,30,28,completed,96.2,SH001
PB004,XC40-2024-001,VM003,PL002,2024-07-23,2024-07-23,35,35,completed,99.1,SH002
PB005,S90-2024-001,VM004,PL001,2024-07-23,2024-07-24,20,19,completed,97.5,SH003
PB006,EX90-2024-001,VM006,PL011,2024-07-24,2024-07-24,15,15,completed,98.8,SH001
PB007,XC90-2024-003,VM001,PL001,2024-07-24,2024-07-25,25,23,in_progress,95.2,SH002
PB008,EX60-2024-001,VM007,PL011,2024-07-25,2024-07-25,18,18,completed,98.1,SH001
PB009,C40-2024-001,VM010,PL002,2024-07-25,2024-07-26,22,21,in_progress,97.3,SH002
PB010,XC60-2024-002,VM002,PL002,2024-07-26,2024-07-26,30,29,completed,96.8,SH003
PB011,V8-ENG-001,ENG-V8-001,PL006,2024-07-22,2024-07-22,12,12,completed,99.2,SH001
PB012,I4-ENG-001,ENG-I4-001,PL006,2024-07-23,2024-07-23,18,17,completed,98.5,SH002
PB013,TRANS-001,TRANS-001,PL007,2024-07-22,2024-07-23,15,14,completed,97.8,SH001
PB014,BATT-78-001,BATT-001,PL008,2024-07-24,2024-07-24,8,8,completed,99.5,SH002
PB015,BATT-65-001,BATT-002,PL008,2024-07-25,2024-07-25,10,9,completed,98.9,SH001
PB016,XC90-2024-004,VM001,PL004,2024-07-26,2024-07-27,25,24,in_progress,97.1,SH003
PB017,Polestar-001,VM012,PL011,2024-07-27,2024-07-27,12,12,planned,0.0,SH001
PB018,XC40-2024-002,VM003,PL013,2024-07-27,2024-07-28,35,33,in_progress,96.5,SH002
PB019,EX90-2024-002,VM006,PL004,2024-07-28,2024-07-28,15,14,planned,0.0,SH003
PB020,V90-2024-001,VM005,PL001,2024-07-28,2024-07-29,12,11,in_progress,97.8,SH001
PB021,XC60-2024-003,VM002,PL014,2024-07-29,2024-07-29,30,28,planned,0.0,SH002
PB022,C40-2024-002,VM010,PL015,2024-07-29,2024-07-30,22,20,planned,0.0,SH001
PB023,XC90-2024-005,VM001,PL001,2024-07-30,2024-07-30,25,23,planned,0.0,SH003
PB024,EX60-2024-002,VM007,PL004,2024-07-30,2024-07-31,18,16,planned,0.0,SH002
PB025,S90-2024-002,VM004,PL011,2024-07-31,2024-07-31,20,18,planned,0.0,SH001
