id,equipment_id,metric_name,metric_value,unit,timestamp,status,threshold_min,threshold_max,alert_level
PM001,EQ001,vibration,2.5,mm_s,2024-07-26 08:15:30,normal,0.5,4.0,none
PM002,EQ001,temperature,68.5,celsius,2024-07-26 08:15:30,normal,20.0,85.0,none
PM003,EQ001,power_consumption,15.2,kw,2024-07-26 08:15:30,normal,8.0,25.0,none
PM004,EQ001,cycle_count,1247,cycles,2024-07-26 08:15:30,normal,0,9999,none
PM005,EQ002,vibration,1.8,mm_s,2024-07-26 08:16:15,normal,0.5,3.5,none
PM006,EQ002,temperature,72.3,celsius,2024-07-26 08:16:15,normal,20.0,80.0,none
PM007,EQ002,power_consumption,12.8,kw,2024-07-26 08:16:15,normal,6.0,20.0,none
PM008,EQ003,welding_current,285,amperes,2024-07-26 08:17:20,normal,200,350,none
PM009,EQ003,electrode_wear,15.2,percent,2024-07-26 08:17:20,normal,0,25,none
PM010,EQ003,weld_quality,96.5,percent,2024-07-26 08:17:20,normal,90,100,none
PM011,EQ004,hydraulic_pressure,185.5,bar,2024-07-26 08:18:45,normal,150,220,none
PM012,EQ004,oil_temperature,55.2,celsius,2024-07-26 08:18:45,normal,30,70,none
PM013,EQ004,press_force,4250,kg,2024-07-26 08:18:45,normal,3000,5000,none
PM014,EQ005,image_quality,98.2,percent,2024-07-26 08:19:30,normal,95,100,none
PM015,EQ005,processing_time,0.8,seconds,2024-07-26 08:19:30,normal,0.5,2.0,none
PM016,EQ005,detection_accuracy,99.1,percent,2024-07-26 08:19:30,normal,98,100,none
PM017,EQ006,paint_flow_rate,1.85,l_min,2024-07-26 08:20:15,normal,1.5,2.5,none
PM018,EQ006,atomization_pressure,3.2,bar,2024-07-26 08:20:15,normal,2.5,4.0,none
PM019,EQ006,paint_temperature,22.8,celsius,2024-07-26 08:20:15,normal,18,28,none
PM020,EQ007,booth_temperature,24.5,celsius,2024-07-26 08:21:00,normal,20,30,none
PM021,EQ007,humidity,45.2,percent,2024-07-26 08:21:00,normal,40,60,none
PM022,EQ007,air_velocity,0.45,m_s,2024-07-26 08:21:00,normal,0.3,0.6,none
PM023,EQ008,oven_temperature,160.5,celsius,2024-07-26 08:22:30,normal,140,180,none
PM024,EQ008,cure_time,1680,seconds,2024-07-26 08:22:30,normal,1500,2000,none
PM025,EQ008,energy_consumption,45.8,kwh,2024-07-26 08:22:30,normal,30,60,none
PM026,EQ009,lift_height,2.85,meters,2024-07-26 08:23:15,normal,0.5,3.5,none
PM027,EQ009,load_weight,285.5,kg,2024-07-26 08:23:15,normal,50,500,none
PM028,EQ009,operation_time,125,seconds,2024-07-26 08:23:15,normal,60,300,none
PM029,EQ010,torque_applied,85.2,nm,2024-07-26 08:24:00,normal,70,100,none
PM030,EQ010,angle_rotation,92.5,degrees,2024-07-26 08:24:00,normal,85,95,none
PM031,EQ010,completion_time,2.8,seconds,2024-07-26 08:24:00,normal,2.0,5.0,none
PM032,EQ001,vibration,4.2,mm_s,2024-07-26 14:30:20,warning,0.5,4.0,medium
PM033,EQ003,electrode_wear,22.8,percent,2024-07-26 15:45:10,warning,0,25,medium
PM034,EQ004,hydraulic_pressure,195.8,bar,2024-07-26 16:20:35,warning,150,220,medium
PM035,EQ008,oven_temperature,175.2,celsius,2024-07-26 17:10:15,warning,140,180,medium
PM036,EQ002,temperature,78.5,celsius,2024-07-26 18:25:40,warning,20.0,80.0,medium
PM037,EQ001,vibration,4.8,mm_s,2024-07-26 20:15:25,critical,0.5,4.0,high
PM038,EQ003,welding_current,365,amperes,2024-07-26 21:30:18,critical,200,350,high
PM039,EQ004,oil_temperature,72.5,celsius,2024-07-26 22:45:30,critical,30,70,high
PM040,EQ005,detection_accuracy,97.2,percent,2024-07-26 23:15:45,warning,98,100,medium
