supplier_id,hardware_id,contract_start,contract_end,price_per_unit,lead_time_days,quality_agreement
SUP001,HW001,2023-01-01,2025-12-31,45.30,21,ISO_9001
SUP001,HW014,2023-01-01,2025-12-31,34.20,18,ISO_9001
SUP001,HW065,2023-02-01,2025-12-31,45.70,25,ISO_9001
SUP002,HW002,2023-01-01,2025-12-31,89.50,28,VDA_6.3
SUP002,HW018,2023-01-01,2025-12-31,245.60,35,VDA_6.3
SUP002,HW039,2023-01-01,2025-12-31,345.60,42,VDA_6.3
SUP003,HW004,2023-01-01,2025-12-31,67.80,22,IATF_16949
SUP003,HW027,2023-01-01,2025-12-31,56.40,20,IATF_16949
SUP004,HW019,2023-01-01,2025-12-31,189.70,35,IATF_16949
SUP004,HW030,2023-01-01,2025-12-31,198.30,40,IATF_16949
SUP004,HW033,2023-01-01,2025-12-31,123.40,28,IATF_16949
SUP005,HW035,2023-01-01,2025-12-31,145.20,30,ISO_9001
SUP005,HW058,2023-01-01,2025-12-31,78.90,25,ISO_9001
SUP006,HW017,2023-01-01,2025-12-31,178.30,45,IATF_16949
SUP007,HW010,2023-01-01,2025-12-31,123.60,38,ISO_9001
SUP008,HW003,2023-01-01,2025-12-31,234.70,32,IATF_16949
SUP009,HW028,2023-01-01,2025-12-31,134.50,28,ISO_9001
SUP010,HW007,2023-01-01,2025-12-31,78.20,22,ISO_9001
SUP010,HW011,2023-01-01,2025-12-31,145.30,25,ISO_9001
SUP011,HW006,2023-01-01,2025-12-31,189.40,35,ISO_9001
SUP011,HW052,2023-01-01,2025-12-31,345.80,40,ISO_9001
SUP012,HW008,2023-01-01,2025-12-31,156.90,20,ISO_9001
SUP012,HW054,2023-01-01,2025-12-31,45.30,18,ISO_9001
SUP012,HW060,2023-01-01,2025-12-31,12.60,15,ISO_9001
SUP013,HW045,2023-01-01,2025-12-31,156.70,42,ISO_9001
SUP013,HW049,2023-01-01,2025-12-31,189.40,38,ISO_9001
SUP013,HW053,2023-01-01,2025-12-31,89.20,35,ISO_9001
SUP014,HW050,2023-01-01,2025-12-31,23.70,28,ISO_9001
SUP015,HW005,2023-01-01,2025-12-31,1250.00,65,ISO_9001
SUP016,HW021,2023-01-01,2025-12-31,298.40,48,ISO_9001
SUP017,HW012,2023-01-01,2025-12-31,89.70,25,ISO_9001
SUP018,HW009,2023-01-01,2025-12-31,67.40,22,ISO_9001
SUP019,HW024,2023-01-01,2025-12-31,34.80,28,ISO_9001
SUP020,HW025,2023-01-01,2025-12-31,19.20,25,ISO_9001
SUP021,HW013,2023-01-01,2025-12-31,2340.00,55,IATF_16949
SUP022,HW037,2023-01-01,2025-12-31,189.30,48,ISO_9001
SUP023,HW034,2023-01-01,2025-12-31,78.90,32,IATF_16949
SUP023,HW063,2023-01-01,2025-12-31,189.60,38,IATF_16949
SUP024,HW055,2023-01-01,2025-12-31,67.80,28,ISO_9001
SUP024,HW056,2023-01-01,2025-12-31,34.50,25,ISO_9001
SUP025,HW015,2023-01-01,2025-12-31,12.80,20,ISO_9001
SUP026,HW048,2023-01-01,2025-12-31,67.90,22,ISO_9001
SUP027,HW026,2023-01-01,2025-12-31,98.70,28,IATF_16949
SUP028,HW029,2023-01-01,2025-12-31,267.80,35,IATF_16949
SUP029,HW043,2023-01-01,2025-12-31,89.20,30,ISO_9001
SUP030,HW059,2023-01-01,2025-12-31,23.40,22,ISO_9001
